Edge ID,Number of Vehicles,Ratio
-104010328,12,0.0039695666556400925
-164051413,338,0.11180946080052928
-173169611#0,78,0.025802183261660602
-201089423#1,304,0.10056235527621568
-201089423#2,328,0.10850148858749586
-22716549#6,17,0.005623552762156798
-24608844,6,0.0019847833278200462
-24608846#1,3,0.0009923916639100231
-24634414#4,9,0.0029771749917300696
-24634414#5,13,0.004300363876943433
-24634415,3,0.0009923916639100231
-24693977#0,163,0.053919947072444595
-24693977#1,165,0.05458154151505128
-266565295#5,225,0.07442937479325173
-315358253#1,277,0.09163083030102546
-315358253#2,276,0.09130003307972213
-32124743,234,0.0774065497849818
-32124744,329,0.10883228580879921
-32124745,358,0.1184254052265961
-32978638#0,277,0.09163083030102546
-32999434#1,301,0.09956996361230566
-37386279,8,0.0026463777704267286
-653473569#5,424,0.1402580218326166
-83304175#2,124,0.041018855441614294
104010354,457,0.15117433013562687
104010439#1,43,0.014224280516043665
104010460#1,229,0.0757525636784651
104010475#0,453,0.1498511412504135
104012170,452,0.14952034402911016
10425609#0,281,0.09295401918623883
10425609#1,44,0.014555077737347006
118362731,0,0.0
124812856#0,648,0.214356599404565
124812856#1,67,0.02216341382732385
124812857#0,709,0.2345352299040688
164051413,478,0.15812107178299703
168702039#1,325,0.10750909692358585
168702040#1,9,0.0029771749917300696
168702040#2,472,0.15613628845517696
168702040#3,474,0.15679788289778365
168702040#4,435,0.14389679126695334
172488482#0,94,0.031094938802514058
172488483#0,124,0.041018855441614294
201089423#0,211,0.06979821369500497
201089423#2,222,0.07343698312934172
201956810,157,0.05193516374462454
201956811#0,269,0.08898445253059874
201956819#0,473,0.15646708567648032
201956820,482,0.15944426066821038
201956821#0,547,0.18094608005292756
201956821#1.68,546,0.1806152828316242
201963535,359,0.11875620244789943
201963537#1,602,0.19913992722461132
202070434#0,303,0.10023155805491234
202070434#2,302,0.09990076083360899
22716549#0,30,0.00992391663910023
24599188#0.94,101,0.03341051935163745
24608844,6,0.0019847833278200462
24608846#1,6,0.0019847833278200462
24634414#4,5,0.0016539861065167053
24634414#5,7,0.002315580549123387
24634414#5.51,5,0.0016539861065167053
24634415,2,0.0006615944426066821
24693977#0,267,0.08832285808799206
24693977#1,268,0.0886536553092954
25145012#7,110,0.03638769434336751
25149219#1,169,0.05590473040026464
266565295#5,235,0.07773734700628515
27920078#0,367,0.12140258021832617
27920078#1,363,0.12007939133311281
285716192#0,224,0.07409857757194839
285716192#0.83,220,0.07277538868673503
29236658#2,0,0.0
315358253#1,305,0.10089315249751903
315358253#2,306,0.10122394971882236
32021112#0,278,0.09196162752232881
32124634,0,0.0
32124637#0,4,0.0013231888852133643
32124637#1,232,0.07674495534237512
32124743,220,0.07277538868673503
32124744,222,0.07343698312934172
32978638#0,270,0.08931524975190208
32999110#0,302,0.09990076083360899
32999434#0,317,0.10486271915315912
32999435,232,0.07674495534237512
37386279,6,0.0019847833278200462
391891458#0,159,0.052596758187231224
402600768#0,445,0.14720476347998676
402600768#1,469,0.15514389679126694
51857516#1,227,0.07509096923585842
51857517#0,469,0.15514389679126694
51857517#0.33,468,0.1548130995699636
51857517#1,468,0.1548130995699636
51857518#1,269,0.08898445253059874
653473569#5,394,0.13033410519351638
