episode,agent,decision,car_wait,bike_wait,ped_wait,car_queue,bike_queue,ped_queue,reward_mean,reward_min,reward_max,epsilon,mean_q
1,IDQN_MM2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,,
1,IDQN_MM2,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,-0.0,1.0,
1,IDQN_MM2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,1.0,
1,IDQN_MM2,4,2.0,0.0,2.5,1.0,0.0,1.0,-0.53378,-0.53378,-0.53378,1.0,
1,IDQN_MM2,5,19.5,0.0,7.5,4.0,0.0,1.0,-1.09253,-1.09253,-1.09253,0.9999,
1,IDQN_MM2,6,67.5,0.0,14.5,7.0,0.0,3.0,-1.57303,-1.57303,-1.57303,0.9999,
1,IDQN_MM2,7,145.0,3.0,17.5,12.0,1.0,1.0,-0.78374,-0.78374,-0.78374,0.9999,
1,IDQN_MM2,8,266.0,13.0,22.5,15.0,1.0,3.0,-1.29824,-1.29824,-1.29824,0.9999,
1,IDQN_MM2,9,421.5,23.0,29.5,20.0,1.0,3.0,-1.78613,-1.78613,-1.78613,0.9998,
1,IDQN_MM2,10,626.5,39.0,39.5,28.0,3.0,2.0,-2.52234,-2.52234,-2.52234,0.9998,
1,IDQN_MM2,11,754.0,14.5,0.0,25.0,1.0,0.0,3.0,3.0,3.0,0.9998,
1,IDQN_MM2,12,888.0,1.0,0.0,27.0,2.0,0.0,-0.22873,-0.22873,-0.22873,0.9998,
1,IDQN_MM2,13,1046.5,25.5,0.0,28.0,3.0,1.0,-0.32807,-0.32807,-0.32807,0.9998,
1,IDQN_MM2,14,1205.0,41.0,2.5,28.0,2.0,1.0,-0.84536,-0.84536,-0.84536,0.9997,
1,IDQN_MM2,15,1372.0,61.0,7.5,27.0,2.0,2.0,-1.39756,-1.39756,-1.39756,0.9997,
1,IDQN_MM2,16,1622.0,82.0,12.5,28.0,3.0,2.0,-1.55254,-1.55254,-1.55254,0.9997,
1,IDQN_MM2,17,1808.5,116.5,20.0,28.0,4.0,6.0,-1.98433,-1.98433,-1.98433,0.9997,
1,IDQN_MM2,18,1993.0,156.5,29.0,29.0,4.0,6.0,-2.30649,-2.30649,-2.30649,0.9996,
1,IDQN_MM2,19,2247.5,198.0,52.5,32.0,5.0,8.0,-3.0,-3.0,-3.0,0.9996,
1,IDQN_MM2,20,2520.0,253.0,90.5,36.0,8.0,11.0,-3.0,-3.0,-3.0,0.9996,
1,IDQN_MM2,21,2724.5,299.5,48.5,32.0,6.0,2.0,3.0,3.0,3.0,0.9996,
1,IDQN_MM2,22,2857.0,366.5,59.0,31.0,9.0,6.0,-2.56671,-2.56671,-2.56671,0.9996,
1,IDQN_MM2,23,3078.5,461.5,76.0,33.0,10.0,7.0,-3.0,-3.0,-3.0,0.9995,
1,IDQN_MM2,24,3313.5,570.0,102.5,39.0,14.0,14.0,-3.0,-3.0,-3.0,0.9995,
1,IDQN_MM2,25,3542.0,698.0,116.0,38.0,14.0,7.0,-3.0,-3.0,-3.0,0.9995,
1,IDQN_MM2,26,3762.0,839.0,0.0,39.0,15.0,5.0,3.0,3.0,3.0,0.9995,
1,IDQN_MM2,27,4005.0,991.0,16.5,41.0,16.0,19.0,-3.0,-3.0,-3.0,0.9995,
1,IDQN_MM2,28,3383.5,770.0,28.5,37.0,15.0,8.0,-1.08037,-1.08037,-1.08037,0.9994,
1,IDQN_MM2,29,3139.0,470.5,2.5,30.0,10.0,4.0,3.0,3.0,3.0,0.9994,
1,IDQN_MM2,30,3301.0,446.0,16.0,28.0,8.0,6.0,-3.0,-3.0,-3.0,0.9994,
1,IDQN_MM2,31,3429.5,541.5,22.0,34.0,14.0,8.0,-1.64568,-1.64568,-1.64568,0.9994,
1,IDQN_MM2,32,3650.5,681.5,49.5,41.0,14.0,10.0,-3.0,-3.0,-3.0,0.9993,
1,IDQN_MM2,33,3859.5,826.0,51.0,42.0,15.0,4.0,-0.91013,-0.91013,-0.91013,0.9993,0.02748
1,IDQN_MM2,34,4026.5,915.5,66.0,41.0,16.0,4.0,-3.0,-3.0,-3.0,0.9993,0.02437
1,IDQN_MM2,35,4237.0,930.0,83.5,44.0,18.0,6.0,-3.0,-3.0,-3.0,0.9993,0.0181
