episode,agent,decision,car_wait,bike_wait,ped_wait,car_queue,bike_queue,ped_queue,reward_mean,reward_min,reward_max,epsilon,mean_q
1,IDQN_MM2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,,
1,IDQN_MM2,2,2.0,0.0,0.0,1.0,0.0,2.0,-0.0037,-0.0037,-0.0037,1.0,
1,IDQN_MM2,3,25.0,0.0,4.5,7.0,0.0,2.0,-0.99669,-0.99669,-0.99669,1.0,
1,IDQN_MM2,4,66.5,0.0,0.0,8.0,0.0,0.0,0.87736,0.87736,0.87736,1.0,
1,IDQN_MM2,5,128.0,0.0,0.0,10.0,0.0,1.0,-0.11378,-0.11378,-0.11378,0.9999,
1,IDQN_MM2,6,237.5,1.5,7.0,14.0,1.0,3.0,-1.68894,-1.68894,-1.68894,0.9999,
1,IDQN_MM2,7,299.0,11.5,10.0,17.0,1.0,1.0,-0.76409,-0.76409,-0.76409,0.9999,
1,IDQN_MM2,8,365.0,0.0,0.0,19.0,0.0,1.0,2.01455,2.01455,2.01455,0.9999,
1,IDQN_MM2,9,506.5,2.0,0.0,22.0,1.0,1.0,-0.26464,-0.26464,-0.26464,0.9998,
1,IDQN_MM2,10,727.0,12.0,0.0,25.0,1.0,0.0,-0.42217,-0.42217,-0.42217,0.9998,
1,IDQN_MM2,11,976.5,22.0,0.0,27.0,1.0,0.0,-0.47582,-0.47582,-0.47582,0.9998,
1,IDQN_MM2,12,1241.5,32.0,0.0,28.0,1.0,0.0,-0.5045,-0.5045,-0.5045,0.9998,
1,IDQN_MM2,13,1487.0,49.5,0.0,30.0,4.0,0.0,-0.47908,-0.47908,-0.47908,0.9998,
1,IDQN_MM2,14,1587.5,37.5,0.0,29.0,3.0,0.0,-0.16888,-0.16888,-0.16888,0.9997,
1,IDQN_MM2,15,1102.5,21.0,0.0,23.0,1.0,1.0,0.92077,0.92077,0.92077,0.9997,
1,IDQN_MM2,16,1326.0,34.0,0.0,27.0,2.0,2.0,-0.43199,-0.43199,-0.43199,0.9997,
1,IDQN_MM2,17,1464.0,54.0,2.0,29.0,2.0,4.0,-0.70781,-0.70781,-0.70781,0.9997,
