Edge ID,Number of Vehicles,Ratio
-130160207#0,235,0.0822829131652661
-200818108#1,321,0.11239495798319328
-241660955#10,152,0.05322128851540616
-241660955#12,165,0.05777310924369748
-241660955#13,271,0.09488795518207283
-241660955#16,327,0.11449579831932773
-241660955#17,224,0.0784313725490196
-241660955#3,349,0.12219887955182072
-241660955#5,300,0.10504201680672269
-241660955#6,209,0.07317927170868348
-241660955#9,202,0.07072829131652661
-31800061#0,116,0.04061624649859944
-31864804,421,0.14740896358543418
-4045329#5,131,0.04586834733893557
-4045330,37,0.012955182072829132
-41910184,275,0.09628851540616247
-41910185#2,135,0.04726890756302521
-41910186,137,0.04796918767507003
-4999334,126,0.04411764705882353
-5229966#3,124,0.04341736694677871
130160207#0,63,0.022058823529411766
200818108#0,425,0.1488095238095238
241660955#0,276,0.09663865546218488
241660955#10,192,0.06722689075630252
241660955#11,240,0.08403361344537816
241660955#13,239,0.08368347338935574
241660955#14,207,0.07247899159663866
241660955#17,293,0.10259103641456582
241660955#4,287,0.10049019607843138
241660955#6,230,0.08053221288515407
241660955#7,154,0.05392156862745098
241660957#0,550,0.19257703081232494
31800061#0,92,0.03221288515406162
31864804,460,0.16106442577030813
319261593#12,290,0.1015406162464986
319261593#15,210,0.07352941176470588
319261593#16,335,0.117296918767507
4045329#5,163,0.05707282913165266
4045330,78,0.0273109243697479
4045332#0,72,0.025210084033613446
4145589#0,64,0.022408963585434174
4145590#0,380,0.1330532212885154
41910184,152,0.05322128851540616
41910185#0,80,0.028011204481792718
41910186,155,0.05427170868347339
4999331#0,652,0.22829131652661064
4999334,141,0.04936974789915966
8197886#0,54,0.018907563025210083
