episode,agent,decision,car_wait,bike_wait,ped_wait,car_queue,bike_queue,ped_queue,reward_mean,reward_min,reward_max,epsilon,mean_q
1,IDQN_MM2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,,
1,IDQN_MM2,2,2.5,0.0,0.0,1.0,0.0,2.0,-0.00463,-0.00463,-0.00463,1.0,
1,IDQN_MM2,3,26.0,0.0,4.0,6.0,0.0,2.0,-0.8916,-0.8916,-0.8916,1.0,
1,IDQN_MM2,4,66.5,0.0,0.0,6.0,0.0,0.0,0.7732,0.7732,0.7732,1.0,
1,IDQN_MM2,5,128.5,0.0,0.5,8.0,0.0,1.0,-0.22072,-0.22072,-0.22072,0.9999,
1,IDQN_MM2,6,211.5,0.0,8.0,9.0,0.0,3.0,-1.7438,-1.7438,-1.7438,0.9999,
1,IDQN_MM2,7,214.5,0.0,0.0,11.0,0.0,0.0,1.6907,1.6907,1.6907,0.9999,
1,IDQN_MM2,8,278.0,0.0,0.5,15.0,0.0,2.0,-0.2235,-0.2235,-0.2235,0.9999,
1,IDQN_MM2,9,441.0,3.5,5.5,22.0,2.0,2.0,-1.3667,-1.3667,-1.3667,0.9998,
1,IDQN_MM2,10,664.0,23.5,10.5,30.0,2.0,2.0,-1.50117,-1.50117,-1.50117,0.9998,
1,IDQN_MM2,11,895.5,46.0,18.5,32.0,4.0,3.0,-2.15654,-2.15654,-2.15654,0.9998,
1,IDQN_MM2,12,1039.5,44.0,0.0,27.0,2.0,0.0,3.0,3.0,3.0,0.9998,
1,IDQN_MM2,13,1053.5,27.5,0.0,27.0,4.0,0.0,-0.00245,-0.00245,-0.00245,0.9998,
1,IDQN_MM2,14,961.5,40.0,0.0,26.0,4.0,2.0,0.15244,0.15244,0.15244,0.9997,
1,IDQN_MM2,15,899.0,47.5,0.0,25.0,3.0,1.0,0.10497,0.10497,0.10497,0.9997,
1,IDQN_MM2,16,1023.0,47.5,1.0,25.0,3.0,3.0,-0.44145,-0.44145,-0.44145,0.9997,
1,IDQN_MM2,17,1258.5,77.5,8.5,30.0,3.0,3.0,-2.06859,-2.06859,-2.06859,0.9997,
1,IDQN_MM2,18,1257.5,0.0,18.5,28.0,0.0,4.0,-2.0083,-2.0083,-2.0083,0.9996,
1,IDQN_MM2,19,1006.5,0.0,30.0,20.0,0.0,7.0,-1.97398,-1.97398,-1.97398,0.9996,
1,IDQN_MM2,20,973.5,0.0,26.0,19.0,0.0,5.0,0.90918,0.90918,0.90918,0.9996,
1,IDQN_MM2,21,1140.0,2.0,36.0,18.0,1.0,4.0,-2.43121,-2.43121,-2.43121,0.9996,
1,IDQN_MM2,22,1077.5,0.0,54.0,17.0,0.0,8.0,-3.0,-3.0,-3.0,0.9996,
1,IDQN_MM2,23,971.5,1.5,74.0,15.0,1.0,9.0,-3.0,-3.0,-3.0,0.9995,
1,IDQN_MM2,24,907.0,23.0,102.5,16.0,4.0,13.0,-3.0,-3.0,-3.0,0.9995,
1,IDQN_MM2,25,887.5,13.0,0.0,15.0,1.0,2.0,3.0,3.0,3.0,0.9995,
1,IDQN_MM2,26,925.0,24.0,7.5,23.0,2.0,3.0,-1.67525,-1.67525,-1.67525,0.9995,
1,IDQN_MM2,27,902.0,49.0,21.0,33.0,4.0,10.0,-2.85541,-2.85541,-2.85541,0.9995,
1,IDQN_MM2,28,1200.0,91.0,36.0,37.0,6.0,12.0,-3.0,-3.0,-3.0,0.9994,
1,IDQN_MM2,29,1345.0,126.5,48.0,32.0,5.0,11.0,-2.86311,-2.86311,-2.86311,0.9994,
1,IDQN_MM2,30,1622.0,150.0,84.0,35.0,6.0,17.0,-3.0,-3.0,-3.0,0.9994,
1,IDQN_MM2,31,1606.5,84.0,5.5,33.0,6.0,4.0,3.0,3.0,3.0,0.9994,
1,IDQN_MM2,32,1729.0,151.5,11.5,39.0,10.0,11.0,-1.59478,-1.59478,-1.59478,0.9993,
1,IDQN_MM2,33,1918.0,256.0,17.0,40.0,12.0,8.0,-1.66439,-1.66439,-1.66439,0.9993,-0.01437
1,IDQN_MM2,34,2012.0,376.0,44.5,40.0,12.0,10.0,-3.0,-3.0,-3.0,0.9993,-0.01379
1,IDQN_MM2,35,2292.0,502.0,88.0,43.0,15.0,14.0,-3.0,-3.0,-3.0,0.9993,-0.01628
1,IDQN_MM2,36,2532.0,655.0,137.0,44.0,16.0,10.0,-3.0,-3.0,-3.0,0.9993,-0.01732
1,IDQN_MM2,37,2414.0,660.5,0.0,40.0,14.0,0.0,3.0,3.0,3.0,0.9992,-0.01724
1,IDQN_MM2,38,2440.5,778.0,0.0,36.0,14.0,2.0,-0.21605,-0.21605,-0.21605,0.9992,-0.01723
1,IDQN_MM2,39,2662.0,918.0,0.5,38.0,14.0,6.0,-0.71483,-0.71483,-0.71483,0.9992,-0.01837
1,IDQN_MM2,40,2909.5,1063.5,1.5,44.0,17.0,1.0,-0.87676,-0.87676,-0.87676,0.9992,-0.01975
1,IDQN_MM2,41,3187.0,1233.5,6.0,46.0,17.0,3.0,-1.7092,-1.7092,-1.7092,0.9991,-0.02186
1,IDQN_MM2,42,3482.0,1403.5,17.0,47.0,17.0,6.0,-3.0,-3.0,-3.0,0.9991,-0.02364
1,IDQN_MM2,43,3266.5,1423.5,25.5,45.0,17.0,6.0,-1.43199,-1.43199,-1.43199,0.9991,-0.02374
1,IDQN_MM2,44,3464.5,1595.0,45.0,43.0,18.0,9.0,-3.0,-3.0,-3.0,0.9991,-0.02557
1,IDQN_MM2,45,3529.5,1775.0,63.5,44.0,18.0,8.0,-3.0,-3.0,-3.0,0.9991,-0.02985
1,IDQN_MM2,46,3598.5,1794.0,57.0,44.0,17.0,4.0,1.22354,1.22354,1.22354,0.999,-0.03096
1,IDQN_MM2,47,3711.5,1891.5,3.0,44.0,17.0,1.0,3.0,3.0,3.0,0.999,-0.03723
1,IDQN_MM2,48,3900.0,2070.0,8.0,46.0,19.0,4.0,-1.66264,-1.66264,-1.66264,0.999,-0.03753
1,IDQN_MM2,49,3682.0,2063.0,8.0,46.0,19.0,3.0,0.41328,0.41328,0.41328,0.999,-0.041
1,IDQN_MM2,50,3684.5,2102.5,18.0,43.0,18.0,4.0,-2.18109,-2.18109,-2.18109,0.9989,-0.04223
1,IDQN_MM2,51,3920.0,2285.0,36.0,47.0,20.0,6.0,-3.0,-3.0,-3.0,0.9989,-0.0462
1,IDQN_MM2,52,3915.5,2444.0,12.0,44.0,18.0,2.0,3.0,3.0,3.0,0.9989,-0.0508
1,IDQN_MM2,53,4133.5,2625.5,23.0,45.0,19.0,5.0,-2.99367,-2.99367,-2.99367,0.9989,-0.0578
1,IDQN_MM2,54,4251.0,2812.0,32.0,47.0,22.0,2.0,-2.39078,-2.39078,-2.39078,0.9989,-0.05945
1,IDQN_MM2,55,4398.0,3032.0,47.0,46.0,22.0,7.0,-3.0,-3.0,-3.0,0.9988,-0.06244
1,IDQN_MM2,56,4648.0,3252.0,60.0,49.0,22.0,6.0,-3.0,-3.0,-3.0,0.9988,-0.06982
1,IDQN_MM2,57,4083.5,2725.5,1.0,44.0,19.0,4.0,3.0,3.0,3.0,0.9988,-0.07572
1,IDQN_MM2,58,2103.5,1763.5,6.0,31.0,15.0,2.0,3.0,3.0,3.0,0.9988,-0.08578
1,IDQN_MM2,59,1588.5,1589.5,0.0,28.0,13.0,1.0,2.47234,2.47234,2.47234,0.9987,-0.09244
1,IDQN_MM2,60,1696.0,1702.5,5.5,31.0,13.0,5.0,-1.52569,-1.52569,-1.52569,0.9987,-0.09662
1,IDQN_MM2,61,1888.5,1846.5,10.0,41.0,17.0,4.0,-1.51498,-1.51498,-1.51498,0.9987,-0.10016
1,IDQN_MM2,62,2147.5,2018.0,21.5,48.0,18.0,5.0,-3.0,-3.0,-3.0,0.9987,-0.09756
1,IDQN_MM2,63,2328.0,2200.0,44.0,47.0,19.0,12.0,-3.0,-3.0,-3.0,0.9987,-0.11051
1,IDQN_MM2,64,2442.0,2395.0,26.0,46.0,20.0,3.0,3.0,3.0,3.0,0.9986,-0.1197
1,IDQN_MM2,65,2585.0,2597.0,36.0,46.0,22.0,2.0,-2.67202,-2.67202,-2.67202,0.9986,-0.12919
1,IDQN_MM2,66,2826.5,2823.0,1.0,50.0,25.0,0.0,3.0,3.0,3.0,0.9986,-0.13997
1,IDQN_MM2,67,3080.5,3060.5,2.0,51.0,24.0,3.0,-1.01956,-1.01956,-1.01956,0.9986,-0.15615
1,IDQN_MM2,68,3354.5,3310.0,7.5,55.0,27.0,5.0,-2.02777,-2.02777,-2.02777,0.9985,-0.16893
1,IDQN_MM2,69,3394.5,3507.0,0.0,50.0,25.0,0.0,1.2362,1.2362,1.2362,0.9985,-0.17917
1,IDQN_MM2,70,3614.0,3757.0,1.5,50.0,25.0,2.0,-1.07952,-1.07952,-1.07952,0.9985,-0.19412
1,IDQN_MM2,71,3810.5,3980.5,0.0,49.0,26.0,1.0,-0.3632,-0.3632,-0.3632,0.9985,-0.2179
1,IDQN_MM2,72,3996.5,4240.5,4.5,48.0,26.0,2.0,-1.66785,-1.66785,-1.66785,0.9985,-0.22174
1,IDQN_MM2,73,4218.0,4504.5,9.5,50.0,27.0,2.0,-1.84523,-1.84523,-1.84523,0.9984,-0.22203
1,IDQN_MM2,74,4451.5,4778.0,15.0,53.0,28.0,3.0,-1.98695,-1.98695,-1.98695,0.9984,-0.23879
1,IDQN_MM2,75,4683.0,5058.0,19.5,52.0,28.0,5.0,-1.78046,-1.78046,-1.78046,0.9984,-0.25165
1,IDQN_MM2,76,4927.5,5338.0,2.0,54.0,28.0,6.0,2.86018,2.86018,2.86018,0.9984,-0.26014
1,IDQN_MM2,77,5202.0,5622.5,14.5,60.0,29.0,8.0,-3.0,-3.0,-3.0,0.9984,-0.27496
1,IDQN_MM2,78,4122.5,4848.0,37.0,53.0,27.0,10.0,-1.67256,-1.67256,-1.67256,0.9983,-0.28459
1,IDQN_MM2,79,4321.0,5124.0,66.5,54.0,29.0,10.0,-3.0,-3.0,-3.0,0.9983,-0.29762
1,IDQN_MM2,80,4547.0,5418.5,101.5,56.0,30.0,13.0,-3.0,-3.0,-3.0,0.9983,-0.30484
1,IDQN_MM2,81,3210.0,4701.0,105.0,50.0,27.0,11.0,2.75142,2.75142,2.75142,0.9983,-0.32427
1,IDQN_MM2,82,2496.5,3684.0,61.5,46.0,26.0,4.0,3.0,3.0,3.0,0.9982,-0.34996
1,IDQN_MM2,83,2634.0,3946.0,5.0,50.0,27.0,3.0,3.0,3.0,3.0,0.9982,-0.35809
1,IDQN_MM2,84,2783.5,4216.0,9.5,51.0,27.0,4.0,-1.61453,-1.61453,-1.61453,0.9982,-0.36835
1,IDQN_MM2,85,2864.5,4352.0,14.5,50.0,26.0,3.0,-1.40334,-1.40334,-1.40334,0.9982,-0.3813
1,IDQN_MM2,86,3107.0,4612.0,28.0,51.0,26.0,13.0,-3.0,-3.0,-3.0,0.9982,-0.4043
1,IDQN_MM2,87,3364.5,4886.5,19.5,57.0,29.0,5.0,0.93567,0.93567,0.93567,0.9981,-0.41448
1,IDQN_MM2,88,3648.5,5176.5,34.0,58.0,29.0,7.0,-3.0,-3.0,-3.0,0.9981,-0.43961
1,IDQN_MM2,89,3938.5,5471.5,55.0,60.0,31.0,11.0,-3.0,-3.0,-3.0,0.9981,-0.44421
1,IDQN_MM2,90,4228.5,5781.5,86.5,60.0,31.0,12.0,-3.0,-3.0,-3.0,0.9981,-0.46188
